,dish_type,price,star,comment_num,location
359,蛋糕甜点,17,5,454,嘉定区
360,江浙菜,158,4,199,静安区
361,江浙菜,68,4,2753,虹口区
362,江浙菜,78,4,4377,松江区
363,江浙菜,51,4,8373,浦东新区
364,江浙菜,83,5,3049,徐汇区
365,江浙菜,87,4,1369,黄浦区
366,江浙菜,588,3,0,静安区
367,江浙菜,59,3,1183,长宁区
368,江浙菜,91,4,2069,徐汇区
369,江浙菜,50,3,329,黄浦区
370,江浙菜,71,3,4757,青浦区
371,江浙菜,60,4,11152,松江区
372,江浙菜,101,3,4,闵行区
373,江浙菜,126,5,940,杨浦区
374,江浙菜,63,4,2248,奉贤区
375,日本料理,321,4,13,黄浦区
376,日本料理,108,5,924,浦东新区
377,日本料理,252,5,255,浦东新区
378,日本料理,196,4,94,黄浦区
379,日本料理,171,4,1904,黄浦区
380,日本料理,84,5,350,浦东新区
381,日本料理,188,5,563,黄浦区
382,日本料理,18,4,8946,青浦区
383,日本料理,60,4,642,黄浦区
384,日本料理,148,4,9,长宁区
385,日本料理,233,4,1105,浦东新区
386,日本料理,303,4,363,黄浦区
387,日本料理,73,4,1890,浦东新区
388,日本料理,232,4,575,长宁区
389,日本料理,247,4,479,黄浦区
390,江浙菜,50,3,329,黄浦区
391,江浙菜,65,4,3657,长宁区
392,江浙菜,30,4,984,黄浦区
393,江浙菜,51,4,8373,浦东新区
394,江浙菜,49,5,2161,松江区
395,江浙菜,79,5,2560,静安区
396,江浙菜,86,4,0,黄浦区
397,江浙菜,54,4,1778,松江区
398,江浙菜,50,4,3473,松江区
399,江浙菜,208,5,3,浦东新区
400,江浙菜,62,4,3799,奉贤区
401,江浙菜,57,4,5593,金山区
402,江浙菜,588,3,0,静安区
403,江浙菜,64,4,3471,普陀区
404,江浙菜,49,4,1393,奉贤区
405,江浙菜,232,5,1,徐汇区
406,江浙菜,30,4,4585,浦东新区
407,江浙菜,121,4,3661,徐汇区
408,江浙菜,90,4,6,黄浦区
409,江浙菜,112,4,339,浦东新区
410,江浙菜,58,4,1754,浦东新区
411,江浙菜,490,3,0,浦东新区
412,江浙菜,65,4,737,黄浦区
413,江浙菜,79,4,2477,金山区
414,江浙菜,172,4,2,虹口区
415,江浙菜,93,4,865,嘉定区
416,江浙菜,55,4,1269,黄浦区
417,江浙菜,53,3,481,宝山区
418,江浙菜,181,5,862,浦东新区
419,江浙菜,44,5,1541,虹口区
420,聚餐宴请,125,4,76,普陀区
421,聚餐宴请,88,4,91,黄浦区
422,聚餐宴请,80,3,128,黄浦区
423,聚餐宴请,101,4,1148,徐汇区
424,聚餐宴请,131,4,61,杨浦区
425,聚餐宴请,99,4,1229,普陀区
426,聚餐宴请,58,5,370,松江区
427,聚餐宴请,45,5,183,闵行区
428,聚餐宴请,94,4,213,嘉定区
429,聚餐宴请,82,5,160,崇明区
430,聚餐宴请,242,4,274,黄浦区
431,聚餐宴请,139,4,92,静安区
432,聚餐宴请,67,3,310,浦东新区
433,聚餐宴请,73,5,234,杨浦区
434,聚餐宴请,155,4,150,静安区
435,聚餐宴请,194,4,97,普陀区
436,聚餐宴请,183,5,364,黄浦区
437,聚餐宴请,136,5,203,浦东新区
438,聚餐宴请,186,4,49,长宁区
439,聚餐宴请,576,5,121,浦东新区
440,聚餐宴请,61,5,184,杨浦区
441,聚餐宴请,88,3,366,浦东新区
442,聚餐宴请,181,5,59,普陀区
443,聚餐宴请,182,4,59,浦东新区
444,聚餐宴请,64,4,115,杨浦区
445,聚餐宴请,66,4,101,浦东新区
446,聚餐宴请,112,5,107,闵行区
447,聚餐宴请,79,5,438,浦东新区
448,聚餐宴请,100,4,65,金山区
449,聚餐宴请,74,4,846,奉贤区
450,蛋糕甜点,15,4,20,嘉定区
451,蛋糕甜点,27,5,247,杨浦区
452,蛋糕甜点,14,5,232,奉贤区
453,蛋糕甜点,427,5,66,黄浦区
454,蛋糕甜点,10,4,1522,其他区
455,蛋糕甜点,12,4,2529,奉贤区
456,蛋糕甜点,166,4,2,黄浦区
457,蛋糕甜点,12,4,9173,奉贤区
458,蛋糕甜点,42,4,417,金山区
459,蛋糕甜点,31,4,3,虹口区
460,蛋糕甜点,13,4,7814,奉贤区
461,蛋糕甜点,33,4,1672,青浦区
462,蛋糕甜点,107,4,0,黄浦区
463,蛋糕甜点,14,4,2640,浦东新区
464,蛋糕甜点,15,4,5415,青浦区
465,日本料理,148,4,9,长宁区
466,日本料理,84,5,350,浦东新区
467,日本料理,186,4,6,闵行区
468,日本料理,73,4,1890,浦东新区
469,日本料理,52,5,1588,黄浦区
470,日本料理,99,5,24981,嘉定区
471,日本料理,137,4,109,浦东新区
472,日本料理,227,4,3261,青浦区
473,日本料理,18,4,8946,青浦区
474,日本料理,183,4,3,松江区
475,日本料理,270,4,749,闵行区
476,日本料理,83,4,718,普陀区
477,日本料理,356,5,76,闵行区
478,日本料理,171,4,1904,黄浦区
479,日本料理,243,4,1111,松江区
480,聚餐宴请,103,5,54,静安区
481,聚餐宴请,161,4,967,杨浦区
482,聚餐宴请,88,4,1066,浦东新区
483,聚餐宴请,93,4,220,闵行区
484,聚餐宴请,73,3,50,闵行区
485,聚餐宴请,91,4,100,闵行区
486,聚餐宴请,125,4,51,虹口区
487,聚餐宴请,74,5,252,浦东新区
488,聚餐宴请,69,4,195,嘉定区
489,聚餐宴请,51,4,128,静安区
490,聚餐宴请,73,4,54,金山区
491,聚餐宴请,55,5,48,青浦区
492,聚餐宴请,166,4,257,嘉定区
493,聚餐宴请,51,5,72,其他区
494,聚餐宴请,90,4,159,长宁区
495,蛋糕甜点,0,4,11,松江区
496,蛋糕甜点,30,4,3569,奉贤区
497,蛋糕甜点,42,4,899,嘉定区
498,蛋糕甜点,173,4,0,长宁区
499,蛋糕甜点,37,4,802,普陀区
500,蛋糕甜点,20,5,159,闵行区
501,蛋糕甜点,201,5,93,松江区
502,蛋糕甜点,20,4,1292,徐汇区
503,蛋糕甜点,30,5,644,松江区
504,蛋糕甜点,258,4,31,浦东新区
505,蛋糕甜点,15,4,578,浦东新区
506,蛋糕甜点,34,5,72,浦东新区
507,蛋糕甜点,52,4,5,黄浦区
508,蛋糕甜点,28,4,5895,松江区
509,蛋糕甜点,24,4,609,嘉定区
510,江浙菜,63,4,6,宝山区
511,江浙菜,100,3,536,奉贤区
512,江浙菜,101,4,778,其他区
513,江浙菜,89,4,49,宝山区
514,江浙菜,44,4,1100,奉贤区
515,江浙菜,68,3,656,宝山区
516,江浙菜,457,5,0,浦东新区
517,江浙菜,100,4,402,松江区
518,江浙菜,83,4,1526,闵行区
519,江浙菜,436,4,0,浦东新区
520,江浙菜,26,4,5534,浦东新区
521,江浙菜,61,3,842,金山区
522,江浙菜,100,4,0,虹口区
523,江浙菜,81,4,1390,松江区
524,江浙菜,82,4,679,闵行区
525,日本料理,305,5,404,闵行区
526,日本料理,69,4,1521,奉贤区
527,日本料理,89,4,3061,静安区
528,日本料理,179,4,79,长宁区
529,日本料理,232,4,575,长宁区
530,日本料理,303,4,363,黄浦区
531,日本料理,284,4,95,青浦区
532,日本料理,127,4,1269,松江区
533,日本料理,247,4,479,黄浦区
534,日本料理,126,4,0,静安区
535,日本料理,80,4,1917,浦东新区
536,日本料理,79,4,1564,浦东新区
537,日本料理,77,4,27,松江区
538,日本料理,225,4,736,普陀区
539,日本料理,224,5,709,浦东新区
540,蛋糕甜点,50,5,168,嘉定区
541,蛋糕甜点,50,4,504,松江区
542,蛋糕甜点,13,4,562,浦东新区
543,蛋糕甜点,72,4,17,浦东新区
544,蛋糕甜点,139,4,922,浦东新区
545,蛋糕甜点,12,4,150,浦东新区
546,蛋糕甜点,144,4,7,杨浦区
547,蛋糕甜点,143,4,559,浦东新区
548,蛋糕甜点,0,3,924,松江区
549,蛋糕甜点,92,4,0,宝山区
550,蛋糕甜点,22,4,301,浦东新区
551,蛋糕甜点,18,3,475,闵行区
552,蛋糕甜点,30,4,0,静安区
553,蛋糕甜点,19,3,717,松江区
554,蛋糕甜点,18,4,3082,松江区
555,日本料理,77,4,27,松江区
556,日本料理,227,4,3261,青浦区
557,日本料理,184,4,1078,松江区
558,日本料理,98,5,279,浦东新区
559,日本料理,52,4,198,静安区
560,日本料理,162,4,634,长宁区
561,日本料理,124,5,95,浦东新区
562,日本料理,126,4,429,嘉定区
563,日本料理,83,4,718,普陀区
564,日本料理,105,5,103,浦东新区
565,日本料理,248,4,140,长宁区
566,日本料理,103,4,634,嘉定区
567,日本料理,168,5,5,静安区
568,日本料理,68,4,1499,青浦区
569,日本料理,243,4,1111,松江区
570,江浙菜,89,4,49,宝山区
571,江浙菜,64,4,514,金山区
572,江浙菜,64,4,732,浦东新区
573,江浙菜,457,5,0,浦东新区
574,江浙菜,57,4,1766,金山区
575,江浙菜,87,5,597,浦东新区
576,江浙菜,436,4,0,浦东新区
577,江浙菜,79,4,2157,青浦区
578,江浙菜,51,4,464,奉贤区
579,江浙菜,100,4,0,虹口区
580,江浙菜,59,4,650,闵行区
581,江浙菜,85,4,751,黄浦区
582,江浙菜,402,4,0,黄浦区
583,江浙菜,95,4,413,浦东新区
584,江浙菜,99,4,556,黄浦区
585,日本料理,123,4,6,浦东新区
586,日本料理,243,4,1111,松江区
587,日本料理,50,4,443,闵行区
588,日本料理,55,4,11,徐汇区
589,日本料理,99,4,1259,普陀区
590,日本料理,121,4,203,静安区
591,日本料理,206,4,0,长宁区
592,日本料理,112,4,375,青浦区
593,日本料理,88,4,519,徐汇区
594,日本料理,56,4,245,静安区
595,日本料理,100,4,1967,浦东新区
596,日本料理,158,4,555,静安区
597,日本料理,110,4,83,浦东新区
598,日本料理,96,4,696,闵行区
599,日本料理,153,5,31,闵行区
600,蛋糕甜点,30,4,0,静安区
601,蛋糕甜点,19,4,351,浦东新区
602,蛋糕甜点,73,4,187,静安区
603,蛋糕甜点,151,4,6,松江区
604,蛋糕甜点,10,4,508,浦东新区
605,蛋糕甜点,18,4,284,徐汇区
606,蛋糕甜点,186,4,0,杨浦区
607,蛋糕甜点,29,4,1042,嘉定区
608,蛋糕甜点,63,4,803,浦东新区
609,蛋糕甜点,60,5,289,闵行区
610,蛋糕甜点,21,4,530,其他区
611,蛋糕甜点,9,4,212,普陀区
612,蛋糕甜点,190,4,2,闵行区
613,蛋糕甜点,48,5,9668,其他区
614,蛋糕甜点,11,4,465,松江区
615,江浙菜,151,4,1,长宁区
616,江浙菜,57,4,819,金山区
617,江浙菜,48,4,927,浦东新区
618,江浙菜,52,4,113,黄浦区
619,江浙菜,36,4,773,青浦区
620,江浙菜,117,4,417,宝山区
621,江浙菜,100,3,0,其他区
622,江浙菜,64,3,1066,闵行区
623,江浙菜,136,5,623,嘉定区
624,江浙菜,82,4,23,闵行区
625,江浙菜,69,4,497,松江区
626,江浙菜,100,5,526,浦东新区
627,江浙菜,147,4,0,杨浦区
628,江浙菜,88,4,429,松江区
629,江浙菜,68,4,1614,松江区
630,日本料理,138,4,16,徐汇区
631,日本料理,87,4,297,浦东新区
632,日本料理,117,4,1215,静安区
633,日本料理,99,5,740,黄浦区
634,日本料理,207,4,2185,静安区
635,日本料理,89,4,3061,静安区
636,日本料理,153,4,0,长宁区
637,日本料理,60,4,579,嘉定区
638,日本料理,80,4,1917,浦东新区
639,日本料理,111,4,75,长宁区
640,日本料理,29,5,136,嘉定区
641,日本料理,44,4,754,徐汇区
642,日本料理,345,5,0,静安区
643,日本料理,55,3,184,徐汇区
644,日本料理,261,4,117,长宁区
645,蛋糕甜点,23,4,12,闵行区
646,蛋糕甜点,40,4,252,闵行区
647,蛋糕甜点,37,5,5805,松江区
648,蛋糕甜点,0,4,0,宝山区
649,蛋糕甜点,9,5,760,其他区
650,蛋糕甜点,16,4,3240,奉贤区
651,蛋糕甜点,242,4,0,浦东新区
652,蛋糕甜点,35,4,127,闵行区
653,蛋糕甜点,21,4,972,松江区
654,蛋糕甜点,0,4,10,虹口区
655,蛋糕甜点,80,4,716,杨浦区
656,蛋糕甜点,19,4,4034,其他区
657,蛋糕甜点,170,4,16,黄浦区
658,蛋糕甜点,78,5,4807,闵行区
659,蛋糕甜点,71,4,1059,浦东新区
660,江浙菜,217,4,4,静安区
