,dish_type,restaurant_name,price,star,comment_num
328,江浙菜,申龙酒店（阳光店）,86,4,1166
329,江浙菜,乐忻皇朝汇（国金中心商场店）,97,4,2490
330,日本料理,樱之海日本料理（圣诺亚大厦店）,146,4,8
331,日本料理,井上家（大兴街店）,52,5,1588
332,日本料理,旨料亭日本料理（四川北路店）,278,4,698
333,日本料理,和岚一番烧肉（金山百联店）,112,5,186
334,日本料理,岩屋日本料理,152,4,1401
335,日本料理,一番屋铁板烧（漕宝路店）,116,4,4702
336,日本料理,MOLI烧肉（保利时光店）,180,4,9
337,日本料理,赤坂亭·M9和牛放题（松江万达广场店）,221,4,2058
338,日本料理,蘭庭·寿喜烧·炉端烧·酒（星乐汇商业街店）,102,5,73
339,日本料理,米亭味自慢料理（陆家嘴店）,356,4,0
340,日本料理,樱木屋,177,5,755
341,日本料理,合长寿司（板桥西路店）,44,5,742
342,日本料理,三町目居酒屋,139,4,5
343,日本料理,游山炙烤居酒屋（天山店）,191,4,91
344,日本料理,锦水亭日本料理（嘉定店）,195,4,299
345,蛋糕甜点,杜哈夫西点（日月光店）,240,4,25
346,蛋糕甜点,荔园面包房,50,5,1545
347,蛋糕甜点,长晋面包坊,114,5,1251
348,蛋糕甜点,SJ.蛋糕私人定制,399,4,3
349,蛋糕甜点,麦香村（青村店）,15,4,736
350,蛋糕甜点,闵泽蛋糕房,110,5,493
351,蛋糕甜点,【西凡尼蛋糕·甜品桌定制】（虹口店）,0,4,20
352,蛋糕甜点,爱珍西点（场中路店）,109,5,1039
353,蛋糕甜点,匠造烘焙（联洋店）,25,4,871
354,蛋糕甜点,菲手酿作坊甜品,18,4,5
355,蛋糕甜点,幸福西饼生日蛋糕店（启帆店）,87,4,23
356,蛋糕甜点,甘茶度,10,5,548
357,蛋糕甜点,21cake客蛋糕,177,4,5
358,蛋糕甜点,PONY（龙之梦购物中心店）,33,4,271
359,蛋糕甜点,吉米娜烘焙,17,5,454
360,江浙菜,圆苑（梅龙镇广场店）,158,4,199
361,江浙菜,阿英煲（凉城路店）,68,4,2753
362,江浙菜,彩蝶坊（西林北路店）,78,4,4377
363,江浙菜,什味阁（曹路宝龙广场店）,51,4,8373
364,江浙菜,美华轩（徐家汇店）,83,5,3049
365,江浙菜,外滩往事民国上海菜,87,4,1369
366,江浙菜,蟹臻鲜阳澄湖大闸蟹（大宁音乐广场店）,588,3,0
367,江浙菜,弄堂里（龙之梦长宁店）,59,3,1183
368,江浙菜,乐忻皇朝（环贸iapm商场店）,91,4,2069
369,江浙菜,春风松月楼（城隍庙店）,50,3,329
370,江浙菜,青浦宾馆·蝶轩自助餐厅,71,3,4757
371,江浙菜,70后饭吧（松江店）,60,4,11152
372,江浙菜,夏家旗杆·塘桥饭店,101,3,4
373,江浙菜,芭堤雅假日酒店餐厅,126,5,940
374,江浙菜,大牌农家乐（环城东路店）,63,4,2248
375,日本料理,黑门和牛（新天地店）,321,4,13
376,日本料理,烧太郎日本料理,108,5,924
377,日本料理,星河湾酒店意咖啡（锦绣路店）,252,5,255
378,日本料理,纳豆日本料理（城市酒店旗舰店）,196,4,94
379,日本料理,银子日本料理铁板烧（人民广场店）,171,4,1904
380,日本料理,奈美居酒屋,84,5,350
381,日本料理,百川屋日本料理,188,5,563
382,日本料理,炙寿司（青松路店）,18,4,8946
383,日本料理,富山面家（soho复兴广场店）,60,4,642
384,日本料理,海钓居酒屋,148,4,9
385,日本料理,柚子（南汇店）,233,4,1105
386,日本料理,芥末日本料理（打浦路铂尔曼旗舰店）,303,4,363
387,日本料理,寿司王子（巴黎春天成山店）,73,4,1890
388,日本料理,伊藤新苑日本料理·烧肉（古北店）,232,4,575
389,日本料理,清水日本料理（仙乐斯广场店）,247,4,479
390,江浙菜,春风松月楼（城隍庙店）,50,3,329
391,江浙菜,70后饭吧（长宁龙之梦店）,65,4,3657
392,江浙菜,陇翠轩（黄浦绿地缤纷城店）,30,4,984
393,江浙菜,什味阁（曹路宝龙广场店）,51,4,8373
394,江浙菜,风波庄酒家（松江店）,49,5,2161
395,江浙菜,江南村酒家,79,5,2560
396,江浙菜,琉璃小馆,86,4,0
397,江浙菜,江南小菜（海之源店）,54,4,1778
398,江浙菜,竹筷子松江味（鹿都国际商业广场店）,50,4,3473
399,江浙菜,懿·EAST（陆家嘴中心店）,208,5,3
400,江浙菜,聚鑫阁（正阳店）,62,4,3799
401,江浙菜,三品香小菜（卫清店）,57,4,5593
402,江浙菜,苏蟹阁阳澄湖大闸蟹（静安大悦城店）,588,3,0
403,江浙菜,70后饭吧（百联真光路店）,64,4,3471
404,江浙菜,头品一宅,49,4,1393
405,江浙菜,尚越,232,5,1
406,江浙菜,淮南牛肉汤会馆（宝龙广场店）,30,4,4585
407,江浙菜,王朝大酒店（徐汇店）,121,4,3661
408,江浙菜,浦江小厨,90,4,6
409,江浙菜,跃民老上海风味（金台路店）,112,4,339
410,江浙菜,美聚汇酒店（成山路店）,58,4,1754
411,江浙菜,苏蟹阁阳澄湖大闸蟹（浦东张杨路店）,490,3,0
412,江浙菜,Uncle5（淮海路店）,65,4,737
413,江浙菜,来客乐,79,4,2477
414,江浙菜,蟹榭（虹口龙之梦商场店）,172,4,2
415,江浙菜,绿地万怡酒店中餐厅,93,4,865
416,江浙菜,新白鹿餐厅（第一百货店）,55,4,1269
417,江浙菜,洋庭小馆 （菊盛店）,53,3,481
418,江浙菜,紫来轩,181,5,862
419,江浙菜,做了不起的80后,44,5,1541
420,聚餐宴请,一品全大酒店（桃浦店）,125,4,76
421,聚餐宴请,兴泰餐厅,88,4,91
422,聚餐宴请,悦来大酒店（九江路店）,80,3,128
423,聚餐宴请,狼来了 碳烤羊腿（柳州路店）,101,4,1148
424,聚餐宴请,孔家花园（五角场店）,131,4,61
425,聚餐宴请,狼来了碳烤羊腿（胶州路直营店）,99,4,1229
426,聚餐宴请,西林素斋,58,5,370
427,聚餐宴请,优娜星高端蛋糕定制&商务茶歇,45,5,183
428,聚餐宴请,南翔公馆,94,4,213
429,聚餐宴请,新河大酒店（新河镇店）,82,5,160
430,聚餐宴请,王宝和上海餐厅,242,4,274
431,聚餐宴请,正本清源健康本帮菜（1788国际中心店）,139,4,92
432,聚餐宴请,虾满楼（秋岚路店）,67,3,310
433,聚餐宴请,同济迎宾馆迎宾楼,73,5,234
434,聚餐宴请,鸭王（静安店）,155,4,150
435,聚餐宴请,向阳渔港（澳门路店）,194,4,97
436,聚餐宴请,俪晶酒店（汉口路店）,183,5,364
437,聚餐宴请,沪华海鲜大酒楼（南汇店）,136,5,203
438,聚餐宴请,海逸海鲜酒家（江苏路店）,186,4,49
439,聚餐宴请,世博源公馆（世博源店）,576,5,121
440,聚餐宴请,回乡缘西域餐厅（三号湾广场店）,61,5,184
441,聚餐宴请,狼来了碳烤羊腿（崂山路店）,88,3,366
442,聚餐宴请,豪皇粤菜料理专家（绿洲中环店）,181,5,59
443,聚餐宴请,东方滨江大酒店·鱼香阁,182,4,59
444,聚餐宴请,湘里乡（国权北路店）,64,4,115
445,聚餐宴请,传奇膳庄,66,4,101
446,聚餐宴请,泓叶·上海梦（天山西路店）,112,5,107
447,聚餐宴请,veggie house 三味蔬屋素食餐厅,79,5,438
448,聚餐宴请,胡记海鲜超市酒楼,100,4,65
449,聚餐宴请,纯灶,74,4,846
450,蛋糕甜点,兰可琪定制蛋糕,15,4,20
451,蛋糕甜点,蜜恋Sweet韩小姐的甜品店（开鲁店）,27,5,247
452,蛋糕甜点,雷雨冷饮批发,14,5,232
453,蛋糕甜点,Da Ivo 哒伊沃威尼斯魔镜下午茶,427,5,66
454,蛋糕甜点,R&B珍奶会所（一店）,10,4,1522
455,蛋糕甜点,阿姨奶茶（老街店）,12,4,2529
456,蛋糕甜点,法兰之吻蛋糕甜品（天津路店）,166,4,2
457,蛋糕甜点,BreadTime烘培时光（育秀路店）,12,4,9173
458,蛋糕甜点,麦香园西饼屋,42,4,417
459,蛋糕甜点,芝芝舒芙蕾,31,4,3
460,蛋糕甜点,英伦时光咖啡&面包（南桥店）,13,4,7814
461,蛋糕甜点,麦香人家（华新街店）,33,4,1672
462,蛋糕甜点,恬嬉·法式甜品（人民广场店）,107,4,0
463,蛋糕甜点,城市面包生日蛋糕定制（秋岚路总店）,14,4,2640
464,蛋糕甜点,麦卡优娜（吾悦广场店）,15,4,5415
465,日本料理,海钓居酒屋,148,4,9
466,日本料理,奈美居酒屋,84,5,350
467,日本料理,酒乐日本料理,186,4,6
468,日本料理,寿司王子（巴黎春天成山店）,73,4,1890
469,日本料理,井上家（大兴街店）,52,5,1588
470,日本料理,多伦多海鲜自助餐厅（江桥万达店）,99,5,24981
471,日本料理,秀·烧肉（长泰广场店）,137,4,109
472,日本料理,兆井精致料理（青浦店）,227,4,3261
473,日本料理,炙寿司（青松路店）,18,4,8946
474,日本料理,醉乐·日本料理,183,4,3
475,日本料理,上井精致料理（吴中店）,270,4,749
476,日本料理,亦人亦碗-精致料理（IMAGO我格广场店）,83,4,718
