,dish_type,restaurant_name,price,star,comment_num,location
191,聚餐宴请,珠珍海鲜酒楼,51,4,440,浦东新区
192,聚餐宴请,宝燕壹号海鲜餐厅（天山店）,162,4,163,长宁区
193,聚餐宴请,金门大酒店罗马厅（南京西路店）,149,3,113,黄浦区
194,聚餐宴请,碧丽宫大酒店（南汇店）,105,4,207,浦东新区
195,江浙菜,皖荟·徽菜,91,4,10,长宁区
196,江浙菜,新老板娘中式快餐,92,4,406,其他区
197,江浙菜,青浦老味道,68,4,1468,青浦区
198,江浙菜,蟹榭（五角场合生汇商场店）,164,5,219,杨浦区
199,江浙菜,世外桃源,73,4,476,浦东新区
200,江浙菜,农家乐,63,4,1740,浦东新区
201,江浙菜,和记小菜（九亭店）,94,4,389,松江区
202,江浙菜,宝山大酒店,93,4,771,宝山区
203,江浙菜,通津菜馆,53,4,157,青浦区
204,江浙菜,米桃-百花山房·桃花扇（协信星光广场店）,97,4,17,静安区
205,江浙菜,家宴私房菜,57,4,952,静安区
206,江浙菜,皖乡阁土菜馆,73,5,85,宝山区
207,江浙菜,临江宴,606,5,0,浦东新区
208,江浙菜,丁香花园（新海路店）,64,4,182,青浦区
209,江浙菜,华义酒楼,48,4,55,浦东新区
210,江浙菜,东方融宴,415,5,2,浦东新区
211,江浙菜,灶头屋里,62,4,36,金山区
212,江浙菜,新荣创（育英店）,66,4,62,嘉定区
213,江浙菜,和记小菜（七宝店）,90,3,1043,闵行区
214,江浙菜,河鲜馆,47,4,278,青浦区
215,江浙菜,馨旺酒店,65,4,197,宝山区
216,江浙菜,蟹状元阳澄湖大闸蟹（悦达889广场店）,588,5,74,静安区
217,江浙菜,徽乡情（三林店）,53,4,235,浦东新区
218,江浙菜,年凯大酒店,40,4,529,奉贤区
219,江浙菜,客缘·初見（龙盛店）,108,4,0,闵行区
220,江浙菜,洋人阿婆（营口店）,81,4,1377,杨浦区
221,江浙菜,小中中自家菜（松江店）,51,4,71,松江区
222,江浙菜,枚青·临安酒肆（徐家汇店）,84,5,793,徐汇区
223,江浙菜,森森小厨,30,4,28,虹口区
224,江浙菜,聚宾乐,51,4,108,金山区
225,蛋糕甜点,西岸甜心cake【蛋糕订制】（七浦店）,0,5,51,静安区
226,蛋糕甜点,储缘蛋糕（西门路店）,93,5,938,浦东新区
227,蛋糕甜点,Salud冻酸奶（月星环球港店）,26,5,138,普陀区
228,蛋糕甜点,西凡尼蛋糕·甜品桌定制（长宁店）,0,5,14,长宁区
229,蛋糕甜点,悸动烧仙草（南桥路店）,10,5,6019,奉贤区
230,蛋糕甜点,麦香园MXY CAKE,50,5,2085,松江区
231,蛋糕甜点,ion·一诺蛋糕定制茶歇甜品桌（上海店）,0,5,41,静安区
232,蛋糕甜点,葡萄园蛋糕店（中环百联真光店）,28,5,127,普陀区
233,蛋糕甜点,古味早到（古北店）,24,5,1555,长宁区
234,蛋糕甜点,悠利克LZ烘焙蛋糕（同济大学店）,0,4,8,杨浦区
235,蛋糕甜点,八喜冰淇淋蛋糕,173,5,1873,普陀区
236,蛋糕甜点,味多美（青浦公园店）,29,4,5931,青浦区
237,蛋糕甜点,蛋白妞妞烘焙定制,166,4,37,松江区
238,蛋糕甜点,悸动烧仙草（枫泾店）,13,4,1686,金山区
239,蛋糕甜点,超级奶爸（江桥沃尔玛店）,9,4,1117,嘉定区
240,江浙菜,国源酒楼（临港店）,77,3,0,浦东新区
241,江浙菜,一品香小菜,58,4,85,静安区
242,江浙菜,张泽羊肉庄农家乐（竹亭南路店）,88,4,22,松江区
243,江浙菜,思泊湖中餐（邵记美食城店）,63,4,1,浦东新区
244,江浙菜,顺路酒家,0,4,70,金山区
245,江浙菜,悦鑫大酒店,90,4,71,闵行区
246,江浙菜,讌·海派融合菜,255,5,0,长宁区
247,江浙菜,听月楼菜馆（文涵路店）,68,4,133,松江区
248,江浙菜,天府记,43,4,286,嘉定区
249,江浙菜,共富海鲜大酒店（共富路店）,121,4,2,宝山区
250,江浙菜,士林小馆,39,3,62,静安区
251,江浙菜,富膳酒楼,50,4,75,金山区
252,江浙菜,枚青·红楼小宴（月亮湾店）,98,4,3,虹口区
253,江浙菜,江南公社（红石路店）,57,4,797,嘉定区
254,江浙菜,御江南（方舟店）,18,4,809,松江区
255,聚餐宴请,千岛湖鱼味馆,88,4,121,黄浦区
